"response_id","response","condition","scenario","response_number"
"R_3Ea8aK90rB1mdue","Tell the truth",1,8,1
"R_3Ea8aK90rB1mdue","Contact the taxi company",1,8,2
"R_3Ea8aK90rB1mdue","Use someone else's ring until the right one is found",1,8,3
"R_3Ea8aK90rB1mdue","Leave the wedding",1,8,4
"R_3Ea8aK90rB1mdue","Pretend nothing happened",1,8,5
"R_3Ea8aK90rB1mdue","Call another colleague and see if they can help",1,9,1
"R_3Ea8aK90rB1mdue","Close the store while away",1,9,2
"R_3Ea8aK90rB1mdue","Quit the job and find another one",1,9,3
"R_3Ea8aK90rB1mdue","Wait and see if boss arrives before 8am",1,9,4
"R_3Ea8aK90rB1mdue","Skip the court appointment (not the best idea)",1,9,5
"R_1Ijh5l65kd1Edft","hitchhike",1,2,1
"R_1Ijh5l65kd1Edft","wait for a taxi",1,2,2
"R_1Ijh5l65kd1Edft","call a friend",1,2,3
"R_1Ijh5l65kd1Edft","walk",1,2,4
"R_1Ijh5l65kd1Edft","miss his flight",1,2,5
"R_1Ijh5l65kd1Edft","offer to buy a new ticket for him",1,3,1
"R_1Ijh5l65kd1Edft","offer to cover his costs",1,3,2
"R_1Ijh5l65kd1Edft","offer to tell him about it",1,3,3
"R_1Ijh5l65kd1Edft","do nothing",1,3,4
"R_1Ijh5l65kd1Edft","wait for him",1,3,5
"R_1Ijh5l65kd1Edft","call 911",1,6,1
"R_1Ijh5l65kd1Edft","check the doors to see if they're locked",1,6,2
"R_1Ijh5l65kd1Edft","call for help",1,6,3
"R_1Ijh5l65kd1Edft","break a window",1,6,4
"R_1Ijh5l65kd1Edft","do nothing",1,6,5
"R_7SxpkpXtIoUbFSN","Call a Rideshare or Taxi Service",2,2,1
"R_7SxpkpXtIoUbFSN","Request Roadside Assistance for His Car",2,2,2
"R_7SxpkpXtIoUbFSN","Contact a Friend or Family Member",2,2,3
"R_7SxpkpXtIoUbFSN","Flag Down a Passing Vehicle",2,2,4
"R_7SxpkpXtIoUbFSN","Arrange Airport Parking for His Car",2,2,5
"R_7SxpkpXtIoUbFSN","Inform the Bride and Groom Immediately",2,8,1
"R_7SxpkpXtIoUbFSN","Ask Someone to Retrieve the Ring",2,8,2
"R_7SxpkpXtIoUbFSN","Use a Substitute Ring Temporarily",2,8,3
"R_7SxpkpXtIoUbFSN","Stay Calm and Focus on the Ceremony",2,8,4
"R_7SxpkpXtIoUbFSN","Offer to Follow Up After the Ceremony",2,8,5
"R_7SxpkpXtIoUbFSN","Jeff can contact other store employees",2,9,1
"R_7SxpkpXtIoUbFSN","Jeff can Leave a Note and Close Temporarily.",2,9,2
"R_7SxpkpXtIoUbFSN","He can also Try other  Different Ways to Contact His Boss",2,9,3
"R_7SxpkpXtIoUbFSN","I also think he can Reach Out to Nearby Businesses to inform them of his sign out for the day.",2,9,4
"R_7SxpkpXtIoUbFSN","lastly i think he can Document His Actions for Accountability",2,9,5
"R_1qCR4YLk8RyiKvm","Try and sneak into the concert ",1,3,1
"R_1qCR4YLk8RyiKvm","Get it anyway and miss most of the concert ",1,3,2
"R_1qCR4YLk8RyiKvm","Just go home ",1,3,3
"R_1qCR4YLk8RyiKvm","Try and buy another ticket ",1,3,4
"R_1qCR4YLk8RyiKvm","get a refund",1,3,5
"R_1qCR4YLk8RyiKvm","He could tell her no and walk away ",1,5,1
"R_1qCR4YLk8RyiKvm","He could offer to get her an uber",1,5,2
"R_1qCR4YLk8RyiKvm","He could drive her half away there and drop her off somehwere to catch another ride ",1,5,3
"R_1qCR4YLk8RyiKvm","He could ignore her ",1,5,4
"R_1qCR4YLk8RyiKvm","He could take her where she needs to go ",1,5,5
"R_1qCR4YLk8RyiKvm","Turn around and go put the knife in his car ",1,7,1
"R_1qCR4YLk8RyiKvm","Place the knife in his checked bagged ",1,7,2
"R_1qCR4YLk8RyiKvm","Just let it be confiscated ",1,7,3
"R_1qCR4YLk8RyiKvm","Ask if there is anything he can do with the knife like store it somewhere ",1,7,4
"R_1qCR4YLk8RyiKvm","Throw the knife away ",1,7,5
"R_5My5OV3JHKAZCrk","call 911",1,4,1
"R_5My5OV3JHKAZCrk","ignore",1,4,2
"R_5My5OV3JHKAZCrk","try and help",1,4,3
"R_5My5OV3JHKAZCrk","honk",1,4,4
"R_5My5OV3JHKAZCrk","throw highlights ",1,4,5
"R_5My5OV3JHKAZCrk","Ignore",1,6,1
"R_5My5OV3JHKAZCrk","call 911",1,6,2
"R_5My5OV3JHKAZCrk","call for help from people around",1,6,3
"R_5My5OV3JHKAZCrk","go about on her day",1,6,4
"R_5My5OV3JHKAZCrk","put matters in her own hands",1,6,5
"R_5My5OV3JHKAZCrk","turn back",1,7,1
"R_5My5OV3JHKAZCrk","put it away",1,7,2
"R_5My5OV3JHKAZCrk","go ahead for the security check",1,7,3
"R_5My5OV3JHKAZCrk","leave it back",1,7,4
"R_5My5OV3JHKAZCrk","explain it to the security",1,7,5
"R_5qew7P77BPNRXu6","Not go to the concert",2,3,1
"R_5qew7P77BPNRXu6","Buy a scalped ticket",2,3,2
"R_5qew7P77BPNRXu6","Go out to a bar instead",2,3,3
"R_5qew7P77BPNRXu6","Try and sneak in",2,3,4
"R_5qew7P77BPNRXu6","Go Home",2,3,5
"R_5qew7P77BPNRXu6","Toss the knife",2,7,1
"R_5qew7P77BPNRXu6","Hand over to security",2,7,2
"R_5qew7P77BPNRXu6","Go Home",2,7,3
"R_5qew7P77BPNRXu6","Nothing",2,7,4
"R_5qew7P77BPNRXu6","Nothing",2,7,5
"R_1wymrvVsMdik9G8","call to have someone deliver his ticket to him at the concert",1,3,1
"R_1wymrvVsMdik9G8","check on line if there's any way to reprint the ticket",1,3,2
"R_1wymrvVsMdik9G8","have someone meet him half way",1,3,3
"R_1wymrvVsMdik9G8","check with a manager at the concert",1,3,4
"R_1wymrvVsMdik9G8","sit outside, listen and drink",1,3,5
"R_3rZlti00mf6qgCw","Go get the ticket with Ted",2,3,1
"R_3rZlti00mf6qgCw","Go into the concert without Ted",2,3,2
"R_3rZlti00mf6qgCw","Stay outside the concert with Ted and hang out",2,3,3
"R_3rZlti00mf6qgCw","Suggest another plan to the group besides the concert",2,3,4
"R_3rZlti00mf6qgCw","Give Ted her ticket ",2,3,5
"R_3rZlti00mf6qgCw","Call the taxi company to put out an alert on all the taxis in local area",2,8,1
"R_3rZlti00mf6qgCw","Let someone in the wedding know and tell him to stall the ceremony",2,8,2
"R_3rZlti00mf6qgCw","Get in a car and drive around to see if he can find that same taxi",2,8,3
"R_3rZlti00mf6qgCw","Call the taxi driver if he has that driver's number somehow",2,8,4
"R_3rZlti00mf6qgCw","Let the ceremony go on without the ring",2,8,5
"R_3rZlti00mf6qgCw","Lock up the store and go to court",2,9,1
"R_3rZlti00mf6qgCw","Call Jeff's boss even more until he picks up",2,9,2
"R_3rZlti00mf6qgCw","Call Jeff's boss's family",2,9,3
"R_3rZlti00mf6qgCw","Stay at the store and be late for court",2,9,4
"R_3rZlti00mf6qgCw","Call one of Jeff's coworkers to cover for him",2,9,5
"R_3ifobTM0IGVNiPD","Call friends or family to pick him up and take him to the airport",1,2,1
"R_3ifobTM0IGVNiPD","Call and Uber and leave his car",1,2,2
"R_3ifobTM0IGVNiPD","Miss his flight and deal with his car",1,2,3
"R_3ifobTM0IGVNiPD","Try to rebook his flight for another day and deal with the car now",1,2,4
"R_3ifobTM0IGVNiPD","Cry",1,2,5
"R_3ifobTM0IGVNiPD","Call 911 and report the driver",1,4,1
"R_3ifobTM0IGVNiPD","Try to honk to get their attention",1,4,2
"R_3ifobTM0IGVNiPD","Follow them to make sure they don't cause an accident and leave",1,4,3
"R_3ifobTM0IGVNiPD","Try to pass them and honk at them",1,4,4
"R_3ifobTM0IGVNiPD","Just leave them alone",1,4,5
"R_3ifobTM0IGVNiPD","Try to open the door",1,6,1
"R_3ifobTM0IGVNiPD","Go back into the mall and ask that security or someone make an annoucement",1,6,2
"R_3ifobTM0IGVNiPD","Break the window",1,6,3
"R_3ifobTM0IGVNiPD","Call 911",1,6,4
"R_3ifobTM0IGVNiPD","Try to find the owner on her own",1,6,5
"R_1zMquGryvF6HgYx","call someone to bring the tickets",1,3,1
"R_1zMquGryvF6HgYx","wait for ted to go back to the house",1,3,2
"R_1zMquGryvF6HgYx","see if someone could go to the house to get the tickets",1,3,3
"R_1zMquGryvF6HgYx","buy new tickets",1,3,4
"R_1zMquGryvF6HgYx","leave the concert",1,3,5
"R_1zMquGryvF6HgYx","get off the road",1,4,1
"R_1zMquGryvF6HgYx","call 911",1,4,2
"R_1zMquGryvF6HgYx","stay far behind the driver",1,4,3
"R_1zMquGryvF6HgYx","high beam them",1,4,4
"R_1zMquGryvF6HgYx","call someone",1,4,5
"R_1zMquGryvF6HgYx","Call 911",1,6,1
"R_1zMquGryvF6HgYx","go into the mall and alert security",1,6,2
"R_1zMquGryvF6HgYx","ask around to see if anyone knows the car",1,6,3
"R_1zMquGryvF6HgYx","ask and see if anyone knows the dog",1,6,4
"R_1zMquGryvF6HgYx","ask for an announcment to be made on the mall speaker",1,6,5
"R_1k1jQWohFaRHghn","Call the cops",2,4,1
"R_1k1jQWohFaRHghn","Call the non emergency line",2,4,2
"R_1k1jQWohFaRHghn","Drive safely around",2,4,3
"R_1k1jQWohFaRHghn","Honk and try to get the driver to pull over",2,4,4
"R_1k1jQWohFaRHghn","Ignore it",2,4,5
"R_1k1jQWohFaRHghn","He could say no",2,5,1
"R_1k1jQWohFaRHghn","He could say yes",2,5,2
"R_1k1jQWohFaRHghn","He could give her money for an uber",2,5,3
"R_1k1jQWohFaRHghn","He could order her an uber",2,5,4
"R_1k1jQWohFaRHghn","He could ignore her",2,5,5
"R_1k1jQWohFaRHghn","He could leave",2,7,1
"R_1k1jQWohFaRHghn","He could tell them what happened",2,7,2
"R_1k1jQWohFaRHghn","He could try to get past without them seeing",2,7,3
"R_1k1jQWohFaRHghn","He could hide the knife somewhere",2,7,4
"R_1k1jQWohFaRHghn","He could ask the security what to do",2,7,5
"R_7Fyi9b5fRdcmEUN","Flag down a car on the highway and ask them to take him to the airport",2,2,1
"R_7Fyi9b5fRdcmEUN","rely on his speed and run to the airport if he's close",2,2,2
"R_7Fyi9b5fRdcmEUN","fix his car if he has tools to do so",2,2,3
"R_7Fyi9b5fRdcmEUN","call a tow truck and ask them to drop him off at the airport",2,2,4
"R_7Fyi9b5fRdcmEUN","call a taxi to the airport",2,2,5
"R_7Fyi9b5fRdcmEUN","Take the woman to the city",2,5,1
"R_7Fyi9b5fRdcmEUN","Decline to take the woman to the city",2,5,2
"R_7Fyi9b5fRdcmEUN","Act like he cannot speak the womans language and doesnt understand",2,5,3
"R_7Fyi9b5fRdcmEUN","Act like he is going the other way",2,5,4
"R_7Fyi9b5fRdcmEUN","pretend to have an emergency he has to rush to",2,5,5
"R_7Fyi9b5fRdcmEUN","Inform officials that he is a chef and needs the knife",2,7,1
"R_7Fyi9b5fRdcmEUN","Ask officials to keep the knife at the airport for pickup when he comes back",2,7,2
"R_7Fyi9b5fRdcmEUN","hide the knife from security",2,7,3
"R_7Fyi9b5fRdcmEUN","Throw away the knife before he is searched by officials",2,7,4
"R_7Fyi9b5fRdcmEUN","Hope they dont find the knife or sotp him from taking it",2,7,5
"R_7kTq963Jg1uqbcd","Start a GoFundMe ",1,1,1
"R_7kTq963Jg1uqbcd","Ask family members and neighbors for help",1,1,2
"R_7kTq963Jg1uqbcd","Apply for a loan",1,1,3
"R_7kTq963Jg1uqbcd","Ask the insurance if there is a similar medication that is covered by their healthcare provider",1,1,4
"R_7kTq963Jg1uqbcd","Have multiple jobs",1,1,5
"R_7kTq963Jg1uqbcd","Offer to pay for an share ride service like Uber",1,5,1
"R_7kTq963Jg1uqbcd","Offer to take her at a public place nearby his house like a Walmart",1,5,2
"R_7kTq963Jg1uqbcd","Offer to take her to her destination",1,5,3
"R_7kTq963Jg1uqbcd","Offer to give her money for a cab",1,5,4
"R_7kTq963Jg1uqbcd","Offer his cell phone so she can call a friend or family member to take her",1,5,5
"R_7kTq963Jg1uqbcd","Explain the situation to the bride and groom. Call the taxi",1,8,1
"R_7kTq963Jg1uqbcd","Call the taxi and hope you get the ring back before the bride and groom notice",1,8,2
"R_7kTq963Jg1uqbcd","Offer a replacement while you find the rings",1,8,3
"R_7kTq963Jg1uqbcd","Offer to pay for replacing the rings",1,8,4
"R_7kTq963Jg1uqbcd","Report the rings as stolen",1,8,5
"R_6YZk5zD6aHykU8x","find a clinical that offers this medication",2,1,1
"R_6YZk5zD6aHykU8x","apply thru medi cal",2,1,2
"R_6YZk5zD6aHykU8x","find coupons from pharmaceutical",2,1,3
"R_6YZk5zD6aHykU8x","start a gofundme",2,1,4
"R_6YZk5zD6aHykU8x","ask family",2,1,5
"R_6YZk5zD6aHykU8x","call AAA",2,2,1
"R_6YZk5zD6aHykU8x","Call a friend to take over",2,2,2
"R_6YZk5zD6aHykU8x","park car somewhere safe for duration of his trip",2,2,3
"R_6YZk5zD6aHykU8x","reschedule flight",2,2,4
"R_6YZk5zD6aHykU8x","miss trip altogether",2,2,5
"R_6YZk5zD6aHykU8x","speed past ",2,4,1
"R_6YZk5zD6aHykU8x","stay way behind",2,4,2
"R_6YZk5zD6aHykU8x","call police",2,4,3
"R_6YZk5zD6aHykU8x","pull over and wait ",2,4,4
"R_6YZk5zD6aHykU8x","get next to car and flash lights to pull the driver over",2,4,5
"R_6rOYPyDRQWMNwFP","look for resources to buy the medications",1,1,1
"R_6rOYPyDRQWMNwFP","reach out to friends for help/assisstance",1,1,2
"R_6rOYPyDRQWMNwFP","talk to the hospital to administer the medication while he look for the funds",1,1,3
"R_6rOYPyDRQWMNwFP","try to reach the insurance company to see if they can add it to the bill",1,1,4
"R_6rOYPyDRQWMNwFP","blame himself for not being able to raise the resources needed",1,1,5
"R_6rOYPyDRQWMNwFP","look for the taxi number to call and ask he returns the ring",1,8,1
"R_6rOYPyDRQWMNwFP","inform the sister and the husband about it",1,8,2
"R_6rOYPyDRQWMNwFP","check the closet store to buy any available one for the main time",1,8,3
"R_6rOYPyDRQWMNwFP","talk to the parents to see if they have an old ring they can use for the main time",1,8,4
"R_6rOYPyDRQWMNwFP","take the blame for the incident ",1,8,5
"R_6rOYPyDRQWMNwFP","ask his collegues to cover up for him while he goes for his appointment",1,9,1
"R_6rOYPyDRQWMNwFP","keep calling his boss till he picks",1,9,2
"R_6rOYPyDRQWMNwFP","lock the store and go for his appointment and leave a text for his boss on where he kept the keys",1,9,3
"R_6rOYPyDRQWMNwFP","lock the shop, go for the appointment and get back later",1,9,4
"R_6rOYPyDRQWMNwFP","reschedule the appointment to next date",1,9,5
"R_5oBfzJd8oflVt23","Hitch",1,2,1
"R_5oBfzJd8oflVt23","Call a friend",1,2,2
"R_5oBfzJd8oflVt23","Call a tow",1,2,3
"R_5oBfzJd8oflVt23","Uber",1,2,4
"R_5oBfzJd8oflVt23","Don't go",1,2,5
"R_5oBfzJd8oflVt23","Eticket on phone",1,3,1
"R_5oBfzJd8oflVt23","Miss some of the show",1,3,2
"R_5oBfzJd8oflVt23","Call a friend",1,3,3
"R_5oBfzJd8oflVt23","Rush back to get them",1,3,4
"R_5oBfzJd8oflVt23","Uber",1,3,5
"R_5oBfzJd8oflVt23","Call a colleague",1,9,1
"R_5oBfzJd8oflVt23","Call boss' wife",1,9,2
"R_5oBfzJd8oflVt23","Call court to explain and see if the date can be moved",1,9,3
"R_5oBfzJd8oflVt23","Call corporate",1,9,4
"R_5oBfzJd8oflVt23","Last case scenario, close up and go to appointment",1,9,5
"R_1RZdTQtOHLNmkFj","Call an uber",1,2,1
"R_1RZdTQtOHLNmkFj","Call a taxi",1,2,2
"R_1RZdTQtOHLNmkFj","call a towtruck",1,2,3
"R_1RZdTQtOHLNmkFj","walk",1,2,4
"R_1RZdTQtOHLNmkFj","call a friend",1,2,5
"R_1RZdTQtOHLNmkFj","buy another ticket",1,3,1
"R_1RZdTQtOHLNmkFj","go in anyway",1,3,2
"R_1RZdTQtOHLNmkFj","wait for him",1,3,3
"R_1RZdTQtOHLNmkFj","see if they can look up the ticket",1,3,4
"R_1RZdTQtOHLNmkFj","not go",1,3,5
"R_1RZdTQtOHLNmkFj","Mail it to himself",1,7,1
"R_1RZdTQtOHLNmkFj","put it in checked luggage",1,7,2
"R_1RZdTQtOHLNmkFj","rent a locker",1,7,3
"R_1RZdTQtOHLNmkFj","leave it behind",1,7,4
