response_id,scenario,response_number,response,embedding,type,p_dist_cosine,m_dist_cosine,cluster_kmeans,cluster_kmeans_centroid_dist,cluster_kmeans_label
4,1,5.0,Crowd fund or ask friends and family.,"[-0.03611195  0.00045196 -0.01349707 ...  0.00183124 -0.02127491
  0.00398624]",human,0.33003538435599356,0.6915044260487249,7,0.2604760343462592,Start a GoFund me.
5,1,1.0,He could start a go fund me campaign.,"[-0.02441651 -0.01313933 -0.01300525 ...  0.00237983 -0.00989174
 -0.00189381]",human,0.278221873266407,0.5765325709742499,7,0.20490281003697985,Start a GoFund me.
5,1,2.0,He could see if their is a way to get a discount from the drug company.,"[-0.03704119  0.02760677 -0.00691752 ... -0.01738087 -0.00072569
 -0.00610626]",human,0.38812811761838406,0.6790824724967182,2,0.2827569578825998,Look into discount programs or financial assistance from the pharmaceutical company.
5,1,3.0,He could rob a store or a bank.,"[ 0.02282359  0.00631516 -0.00460047 ... -0.01452742 -0.01476821
 -0.01503088]",human,0.2195901388295285,0.5218252281108383,0,0.34233365544224625,Steal money.
5,1,4.0,He could borrow money from a loved one.,"[-0.03012651  0.01012548 -0.00631233 ... -0.01753972 -0.02053873
 -0.00540354]",human,0.1888570391465959,0.4931491836827211,1,0.24522036187958185,Borrow money.
5,1,5.0,He could steal money from a loved one.,"[-0.00101277 -0.01853629 -0.00471948 ... -0.01293678 -0.01810556
 -0.03766669]",human,0.19293440081949398,0.49695363574540663,0,0.323364386263544,Steal money.
6,1,1.0,Ask a family member for money.,"[-0.04081071 -0.01060056 -0.00986875 ... -0.01448695 -0.03569517
 -0.00274961]",human,0.1702660564923184,0.5283559424804082,1,0.21631387535140167,Borrow money.
6,1,2.0,Ask a friend for money.,"[-0.02674597 -0.00547578 -0.00903063 ... -0.02530343 -0.01990124
 -0.00211046]",human,0.16386299824555617,0.5227870140668087,1,0.21952999163026776,Borrow money.
6,1,3.0,Ask the pharmacy for discounts.,"[-0.03676991  0.01306189 -0.01393268 ... -0.02580074 -0.00217171
 -0.00021978]",human,0.36638619060342337,0.6989274014988416,2,0.18080540495398323,Look into discount programs or financial assistance from the pharmaceutical company.
6,1,4.0,Start a go fund me.,"[-0.03534681 -0.03029727  0.00606973 ...  0.00157707 -0.00979083
  0.00026835]",human,0.33717364230378954,0.6735203875392659,7,0.10100105741253518,Start a GoFund me.
6,1,5.0,Not buy it.,"[-0.03128285 -0.04303976 -0.00847059 ... -0.01573004 -0.00903185
 -0.00261429]",human,0.48339325842763126,0.8006918958211723,6,0.4479293698090727,Do nothing.
7,1,1.0,Start  a GoFund me or Crowdfund.,"[-0.02737898 -0.02995927 -0.00474216 ...  0.00695284 -0.00681336
  0.00172862]",human,0.3939842121066415,0.7332652749163838,7,0.12333071986314725,Start a GoFund me.
7,1,2.0,Steal money from someone to opay for the meds.,"[-0.00811744  0.00277702  0.01120551 ... -0.01512557 -0.01527548
 -0.01810871]",human,0.29556540815773613,0.6493459866444021,10,0.2325967888168896,Steal the medication.
7,1,3.0,Attempt ro find alternate or generic treatments.,"[-0.03541763 -0.02869745 -0.01770881 ... -0.01075052 -0.02233004
  0.0082062 ]",human,0.3232751920510891,0.6729734363714658,5,0.2552174043980828,See if there are alternative medications.
7,1,4.0,Contact drug manufacturer to see if they have any assistance programs.,"[-5.66189823e-02  3.23690683e-02 -1.02699199e-02 ... -2.46531841e-02
  1.11122167e-05 -1.42488417e-02]",human,0.315565982967827,0.6663999838049921,2,0.2309867495296979,Look into discount programs or financial assistance from the pharmaceutical company.
7,1,5.0,Plea with insurance company to reconsider covering the med.,"[-0.03560154 -0.00103343 -0.01101274 ... -0.01933559  0.00672078
 -0.00724689]",human,0.2609077978777983,0.619794296609536,12,0.25697982217320536,Ask insurance to reconsider.
8,1,1.0,Contact her health provider to see if an assistance program is in place.,"[-0.0296039   0.03581813 -0.00370049 ... -0.00261264 -0.01193938
  0.00454559]",human,0.19853431470750849,0.5233911962940246,9,0.31976505614630435,Seek financial assistance from charities or nonprofit organizations.
8,1,2.0,Contact the drug manufacturer to see if an assistance program is in place.,"[-0.0565491   0.02223957 -0.01027874 ... -0.03056014 -0.00515542
 -0.01646139]",human,0.22114033132066013,0.5438858113340226,2,0.22577945790718035,Look into discount programs or financial assistance from the pharmaceutical company.
8,1,3.0,Seach to see if any community social sevices organizations provide this type of assistance.,"[-0.03403015  0.01948662 -0.01861515 ... -0.01704365 -0.03097286
 -0.00142328]",human,0.27163668883672487,0.5896658099036047,9,0.2840175124716562,Seek financial assistance from charities or nonprofit organizations.
8,1,4.0,Look towards social media for a good samaritan.,"[-0.02201556 -0.0019016  -0.00935986 ... -0.01284241 -0.02803899
 -0.00419692]",human,0.33721110382771413,0.6491155756324186,9,0.46942560562494373,Seek financial assistance from charities or nonprofit organizations.
8,1,5.0,"Start a ""go fund me"" to raise money for Rx.","[-0.03434294 -0.03082211 -0.00607939 ... -0.0106296  -0.01371032
 -0.01251682]",human,0.34507749433109536,0.6562472453944993,7,0.20614054130472015,Start a GoFund me.
9,1,1.0,See if there is any programs that may cover it.,"[-0.04060275  0.03416025 -0.01275765 ... -0.00467081 -0.01734981
  0.0108249 ]",human,0.33960534582243107,0.6911658227815403,9,0.35228037991070404,Seek financial assistance from charities or nonprofit organizations.
9,1,2.0,Contact local churches to see if they can help.,"[-0.00405706  0.03063495 -0.01506908 ...  0.00340158 -0.04115019
 -0.01397892]",human,0.30010437867444706,0.657739612657281,9,0.32624872606462296,Seek financial assistance from charities or nonprofit organizations.
9,1,3.0,Ask friends and family.,"[-0.01909644 -0.01254977 -0.01267582 ... -0.01586644 -0.01150986
 -0.00332652]",human,0.31014987315524367,0.6662402351372124,8,0.14164389913295083,Ask family and friends for help.
9,1,4.0,Sell or pawn something.,"[-0.03808807 -0.03159195 -0.00645398 ... -0.00103704  0.0037977
  0.00056927]",human,0.35612621147084,0.7051459849514823,4,0.19153071868427218,Sell some things.
9,1,5.0,Take out a payday loan.,"[-0.0420931   0.00232193  0.00711497 ... -0.01384383 -0.02084998
 -0.00123994]",human,0.30916439729770584,0.665406313198972,1,0.2424021649051893,Borrow money.
10,1,1.0,Ask the doctor for assistance.,"[-0.00941608  0.02975419 -0.01913336 ... -0.00328334 -0.01490088
  0.00069352]",human,0.4309281850978046,0.7749178980739164,5,0.3411331327663504,See if there are alternative medications.
10,1,2.0,Seek financial aid program.,"[-0.03892479  0.03099677 -0.00681407 ... -0.01239126  0.00216642
  0.01349403]",human,0.2505751249787693,0.6243525236406777,9,0.2655151521310326,Seek financial assistance from charities or nonprofit organizations.
10,1,3.0,Apply for a payment plan.,"[-0.03228353  0.01482859  0.00010622 ... -0.00672451  0.02135021
 -0.0046699 ]",human,0.3003177770265536,0.6658795208867109,9,0.42520876717215794,Seek financial assistance from charities or nonprofit organizations.
10,1,4.0,Crowdfunding.,"[-0.04939713 -0.02345067 -0.0159309  ...  0.00415694 -0.02085765
 -0.02520096]",human,0.4068592691213919,0.7548242808999197,7,0.29416102456762105,Start a GoFund me.
10,1,5.0,Borrow money from family or friends.,"[-0.04255623 -0.01424835 -0.0035875  ... -0.02212052 -0.01670296
 -0.00390704]",human,0.2719723804938927,0.6422157403022185,1,0.1317174399963552,Borrow money.
11,1,1.0,Seek financial support.,"[-0.03550283  0.0248746  -0.01413329 ... -0.01498564 -0.0035181
 -0.00397907]",human,0.2668958124461729,0.6702331304239385,9,0.2544300712612364,Seek financial assistance from charities or nonprofit organizations.
11,1,2.0,Crowdfunding.,"[-0.04939713 -0.02345067 -0.0159309  ...  0.00415694 -0.02085765
 -0.02520096]",human,0.40081341832321415,0.7761403022265179,7,0.29416102456762105,Start a GoFund me.
11,1,3.0,Talk to Pharmacy.,"[-0.04602637 -0.00406387 -0.00370982 ... -0.01162974  0.01573979
 -0.00589569]",human,0.4025298243208558,0.7774977018281952,2,0.3525583213414982,Look into discount programs or financial assistance from the pharmaceutical company.
11,1,4.0,Consult with Doctor.,"[ 0.01080643 -0.00643653 -0.00657851 ... -0.02519398  0.03688385
 -0.01225781]",human,0.3726698090392506,0.7538832580980694,5,0.37633871532859486,See if there are alternative medications.
11,1,5.0,Find charity organizations.,"[-0.02267334  0.01857761 -0.02052501 ... -0.018964   -0.01356227
 -0.04843779]",human,0.39373793495324794,0.7705447389849123,9,0.38428923024319117,Seek financial assistance from charities or nonprofit organizations.
12,1,1.0,Borrow money.,"[-0.04716631 -0.01333571 -0.00081232 ... -0.01503674 -0.00782802
 -0.01753874]",human,0.16257830342279944,0.4679363977463634,1,0.10208023457737969,Borrow money.
12,1,2.0,Steal money.,"[ 0.0060833  -0.03846814  0.01108943 ... -0.02354275 -0.00379916
 -0.03276457]",human,0.24433547135359424,0.5442889755734635,0,0.028884571538972725,Steal money.
12,1,3.0,Pawn valuables.,"[-0.02517762 -0.01084105 -0.00834307 ... -0.0128856   0.00843376
 -0.01263003]",human,0.25382977142448593,0.5531556511619597,4,0.3902828346523387,Sell some things.
12,1,4.0,Mortgage the house.,"[-0.0266138  -0.02085351 -0.00595702 ... -0.01536864 -0.0071138
 -0.01266949]",human,0.22784424485155985,0.5288879081584715,1,0.3451106051434921,Borrow money.
12,1,5.0,Setup a go fund me.,"[-0.04789266 -0.00817939  0.00095745 ... -0.00915818 -0.01264846
  0.00060748]",human,0.3758337998847455,0.6670945547956679,7,0.14532468452089198,Start a GoFund me.
13,1,1.0,Ask family.,"[-0.03127514 -0.00909102 -0.01331215 ... -0.00479827 -0.01767652
  0.00191468]",human,0.1691343330628141,0.5408997968806833,8,0.15530194210264403,Ask family and friends for help.
13,1,2.0,New insurance.,"[-0.0344736   0.01253271 -0.00233262 ... -0.00061984  0.00739706
 -0.02687801]",human,0.5274556011265638,0.8467081773167298,12,0.34129735661085103,Ask insurance to reconsider.
13,1,3.0,Gofundme.,"[-0.06452233 -0.02292001  0.00271311 ... -0.0036795  -0.02254028
 -0.0105031 ]",human,0.41090436063826075,0.7472378157494701,7,0.2053637233142086,Start a GoFund me.
13,1,4.0,Ask friends.,"[-0.0130336  -0.01763023 -0.01199158 ... -0.02042015 -0.01185713
 -0.00968907]",human,0.22068961667079767,0.5848995233503791,8,0.17997610916945928,Ask family and friends for help.
13,1,5.0,Ask his/her family.,"[-0.02059244 -0.0153035  -0.0071432  ...  0.00798818 -0.00906787
  0.00812901]",human,0.2580262000192747,0.6167643360267536,8,0.34495524132556055,Ask family and friends for help.
14,1,1.0,Reach out to family or friends for financial help.,"[-0.03778207  0.01076511 -0.00251765 ... -0.01636297 -0.01611294
 -0.00617778]",human,0.1940229299036449,0.4970769938412432,1,0.28143479856223164,Borrow money.
14,1,2.0,Look into discount programs or financial assistance from the pharmaceutical company.,"[-0.03999529  0.02782341 -0.01517015 ... -0.02691567 -0.00479311
 -0.01185555]",human,0.25630079577164344,0.5552553710261915,2,0.1449180293127731,Look into discount programs or financial assistance from the pharmaceutical company.
14,1,3.0,Sell personal belongings or valuables to raise the money.,"[-0.01988645 -0.02512937  0.00399561 ... -0.00434091 -0.00263027
 -0.0036186 ]",human,0.30847942138319495,0.6039992982547728,4,0.2150709610051984,Sell some things.
14,1,4.0,Consider taking out a loan or using a credit card to pay for the medication.,"[-0.06333142  0.02818302 -0.00624875 ... -0.02386984 -0.01746704
 -0.00086732]",human,0.2176927882351879,0.5191887654431415,10,0.28396932523799057,Steal the medication.
14,1,5.0,Contact a local charity or nonprofit organization that provides financial assistance for medical needs.,"[-0.02086212  0.01787841 -0.00955982 ... -0.00753089 -0.03181832
 -0.01360573]",human,0.2868071580871636,0.5837536284503426,9,0.2786955594086197,Seek financial assistance from charities or nonprofit organizations.
15,1,1.0,Ask from assistance from family.,"[-0.03899335  0.00778193 -0.01275233 ... -0.0141581  -0.02858396
 -0.00520051]",human,0.2392874576245574,0.5622084856209023,8,0.1214947128514301,Ask family and friends for help.
15,1,2.0,Ask for assistance from friends.,"[-0.02234551  0.00071634 -0.01517152 ... -0.01754021 -0.0217682
 -0.00997568]",human,0.25736598007339406,0.5785540217336562,8,0.13771928042782666,Ask family and friends for help.
15,1,3.0,Ask if the doctor has any samples.,"[-0.02379504  0.02718999 -0.01866457 ... -0.01307738  0.01274245
 -0.002354  ]",human,0.24541205959688273,0.5677459903035009,2,0.34413819495494435,Look into discount programs or financial assistance from the pharmaceutical company.
15,1,4.0,Ask if the doctor has any coupons towards discounts.,"[-0.02411507  0.02659365 -0.02071797 ... -0.00863127  0.0003219
  0.0133843 ]",human,0.2640625538211471,0.584608669636181,2,0.2663053991444706,Look into discount programs or financial assistance from the pharmaceutical company.
15,1,5.0,Try to negotiate with the insurance company.,"[-0.03036205 -0.02433513 -0.00799562 ... -0.01142841 -0.00524158
 -0.00872056]",human,0.3773073410159168,0.6869979419847208,12,0.19512628361768103,Ask insurance to reconsider.
16,1,1.0,Fundraiser.,"[-0.06081682 -0.01736077 -0.01249722 ...  0.00352359 -0.00237989
 -0.03703149]",human,0.3870874823738655,0.7179251709848213,7,0.28553461077999365,Start a GoFund me.
16,1,2.0,Ask family.,"[-0.03127514 -0.00909102 -0.01331215 ... -0.00479827 -0.01767652
  0.00191468]",human,0.25520750465994324,0.6034389848249494,8,0.15530194210264403,Ask family and friends for help.
16,1,3.0,Ask friends.,"[-0.0130336  -0.01763023 -0.01199158 ... -0.02042015 -0.01185713
 -0.00968907]",human,0.23932556686506645,0.5896517328214037,8,0.17997610916945928,Ask family and friends for help.
16,1,4.0,Take a loan.,"[-0.03990795  0.01671107  0.00145465 ... -0.01462412 -0.0088055
 -0.00418552]",human,0.32369574473350093,0.6628942375383828,1,0.15160907131028378,Borrow money.
16,1,5.0,Sell valuable personal stuff.,"[-0.03169659 -0.0236909  -0.00506656 ... -0.00214968  0.00898416
 -0.00441795]",human,0.3222479868812942,0.6616374260203994,4,0.19310569063398808,Sell some things.
17,1,1.0,Take out a loan.,"[-3.64924774e-02 -3.09152596e-05  6.73590309e-03 ... -1.19512871e-02
 -1.91281397e-02 -6.18091354e-03]",human,0.2869185213890615,0.6604322058167782,1,0.1500823894238139,Borrow money.
17,1,2.0,Rob the pharmacy.,"[ 0.00299235 -0.01527028  0.00391794 ... -0.00429709 -0.00909972
 -0.01515133]",human,0.31032330327159063,0.6797830178091205,10,0.32335168841679374,Steal the medication.
17,1,3.0,Ask for money.,"[-0.04022317 -0.01736986 -0.00412722 ... -0.00910287 -0.01482874
 -0.00832131]",human,0.3169367100054701,0.6852509085580494,1,0.35465617599214494,Borrow money.
17,1,4.0,Kill wife.,"[-0.00426806 -0.05992593  0.00205095 ... -0.02813528 -0.00034312
 -0.02492298]",human,0.3865413076682451,0.7427992117182878,6,0.5048758358882676,Do nothing.
17,1,5.0,Call insurance company.,"[-0.04050282  0.0177939   0.00240165 ... -0.01594092  0.00823987
 -0.0029766 ]",human,0.3921248781220781,0.7474156453445622,12,0.20047442181840158,Ask insurance to reconsider.
18,1,1.0,Borrow money from friends and family.,"[-0.03823105 -0.02394194 -0.00778808 ... -0.02392731 -0.01071318
 -0.00485201]",human,0.20173610947580278,0.6085950055362459,1,0.13312737313511014,Borrow money.
18,1,2.0,Borrow money from the bank.,"[-0.0387034   0.0010539   0.00459714 ... -0.02422667 -0.00556398
 -0.00727911]",human,0.22474871967155563,0.6270856366300691,1,0.14587460288823229,Borrow money.
18,1,3.0,Contact government assistance services.,"[-0.04563318  0.0132164  -0.00318212 ... -0.02455295 -0.00465659
  0.00185833]",human,0.4407669753955473,0.8006562938543766,9,0.27419198494557884,Seek financial assistance from charities or nonprofit organizations.
18,1,4.0,Crowdfunding.,"[-0.04939713 -0.02345067 -0.0159309  ...  0.00415694 -0.02085765
 -0.02520096]",human,0.39649568434433435,0.7650843138003117,7,0.29416102456762105,Start a GoFund me.
18,1,5.0,Not use the medicine.,"[-0.05134901 -0.0159844   0.01807303 ... -0.0134198   0.0146204
 -0.02229292]",human,0.5222527194270226,0.8661300849400055,10,0.4313967379299961,Steal the medication.
19,1,1.0,Ask pharmacy/doctors about alternatives or discounts.,"[-0.06786603  0.01812923 -0.01526833 ... -0.03163817  0.00256639
  0.00861329]",human,0.405807962456874,0.7460894964122159,2,0.1990842222516922,Look into discount programs or financial assistance from the pharmaceutical company.
19,1,2.0,Ask friends and family for assistance.,"[-0.02469941 -0.00597766 -0.02163711 ... -0.02128139 -0.02921552
 -0.00730775]",human,0.31137046972186133,0.6660008356512346,8,0.11516389637513946,Ask family and friends for help.
19,1,3.0,Sell possessions or take on extra work to get the money for it.,"[-0.03074041 -0.01691669 -0.00106913 ... -0.02060933 -0.01047825
 -0.01307414]",human,0.24836138161821653,0.6125653479456101,11,0.2749978262215138,Work an extra job.
19,1,4.0,Start a gofundme campaign to get the money needed.,"[-0.02482389 -0.02872937 -0.00446054 ... -0.00280707 -0.01766829
 -0.0077374 ]",human,0.2857157750764473,0.6442441151276554,7,0.15393239271503845,Start a GoFund me.
19,1,5.0,Rob a bank.,"[ 1.38242741e-02 -4.25888837e-02  6.88818802e-05 ... -2.50444064e-02
  3.35190289e-03 -2.16069378e-02]",human,0.3565043826579528,0.7042771021770412,0,0.2580419214567604,Steal money.
20,1,1.0,Hope.,"[-0.01977976 -0.00669268  0.00026718 ... -0.02428356 -0.01905713
  0.00769259]",human,0.3572275273080008,0.739584249331775,6,0.5108654200355409,Do nothing.
20,1,2.0,Seek for alternative options.,"[-0.04333509 -0.02083343 -0.01065919 ... -0.03487757  0.00143424
  0.01816621]",human,0.3600822465425222,0.7418511380411389,5,0.31308992492671006,See if there are alternative medications.
20,1,3.0,Pray.,"[-0.00021194 -0.00426225  0.00386098 ... -0.01074504 -0.00734355
  0.005464  ]",human,0.281845826372612,0.6797247981196802,6,0.39238168158188746,Do nothing.
20,1,4.0,Seek medical information.,"[-0.03415746  0.0412034  -0.00266712 ... -0.00589714  0.00952733
 -0.01231507]",human,0.4182444150617832,0.7880368229708601,5,0.3849921001171335,See if there are alternative medications.
20,1,5.0,Loan.,"[-0.04877234  0.01350633  0.00367069 ...  0.00275872 -0.00712251
 -0.00308703]",human,0.40626140549404366,0.7785212990745638,1,0.3957342633410659,Borrow money.
21,1,1.0,Get help.,"[-0.01345376 -0.00647278  0.00330549 ... -0.02667571 -0.00276163
 -0.0068517 ]",human,0.2727270078989945,0.6441863214850273,8,0.37510271052141975,Ask family and friends for help.
21,1,2.0,Ask for cheaper script.,"[-0.05321634 -0.0279294  -0.00942296 ... -0.01687325 -0.00478947
  0.02229581]",human,0.3681141854833343,0.7236432208380339,2,0.426239832202733,Look into discount programs or financial assistance from the pharmaceutical company.
21,1,3.0,Go fund me.,"[-0.06061525 -0.0209059  -0.00254106 ...  0.00745106 -0.02585106
 -0.01883307]",human,0.36504431165429496,0.7210860358784027,7,0.18488702583255212,Start a GoFund me.
21,1,4.0,Go to hospitol.,"[-0.03183554  0.01399136  0.00507695 ... -0.02922607  0.00684602
 -0.00928664]",human,0.3369050828968998,0.6976462410981172,6,0.4677383522206151,Do nothing.
21,1,5.0,Find better insurance.,"[-0.02084985  0.00166384  0.00347432 ... -0.02824819  0.00839156
 -0.00453989]",human,0.32523539353542497,0.6879254656589264,12,0.22513742420427696,Ask insurance to reconsider.
22,1,1.0,Work extra to get extra money.,"[-0.02999068 -0.01817862 -0.00416492 ... -0.01438939 -0.00035019
 -0.01774233]",human,0.3316743801360269,0.6691846094193061,11,0.19134671452301166,Work an extra job.
22,1,2.0,Get a loan from the bank.,"[-0.02995919  0.01499334  0.00636633 ... -0.0141138  -0.00292377
  0.00234657]",human,0.282780016747353,0.6266924500216648,1,0.19117655877370043,Borrow money.
22,1,3.0,Ask for help (go fund me).,"[-0.04650006 -0.01551627 -0.00705543 ... -0.00785968 -0.02550842
 -0.00425682]",human,0.2785851725035944,0.623046876628325,7,0.21645677763850757,Start a GoFund me.
22,1,4.0,Take money from retirement/savings.,"[-0.01352985 -0.01529131  0.00430116 ... -0.03507739 -0.00204049
 -0.01606575]",human,0.255627555479609,0.6030953187315887,1,0.36636743448778364,Borrow money.
22,1,5.0,Search up other types of insurance that can cover the cost.,"[-0.03251065  0.00600235 -0.01632582 ... -0.01507107  0.00128118
  0.01304797]",human,0.375090915719028,0.7069162051008144,12,0.3207738465915545,Ask insurance to reconsider.
23,1,1.0,Source for money from family.,"[-0.01986676 -0.00329347 -0.00616311 ... -0.01064858 -0.03072725
 -0.01680286]",human,0.18458189052349516,0.5151214959304151,1,0.31635217165307394,Borrow money.
23,1,2.0,Source for money from friends.,"[-0.01495735 -0.00183142 -0.00652356 ... -0.01919511 -0.01237946
 -0.02655788]",human,0.1689978409406805,0.5010766974256108,1,0.32659284578478165,Borrow money.
23,1,3.0,Sell some valuable assets.,"[-0.01450478 -0.03370996  0.00290808 ... -0.0101209   0.00313756
 -0.00857784]",human,0.3534335549655434,0.6672955243616621,4,0.19178755186698326,Sell some things.
23,1,4.0,Use credit card.,"[-0.06094018  0.00969221 -0.00935933 ... -0.03031526 -0.01399642
  0.00471063]",human,0.39255228722677993,0.7025504630380823,1,0.44531109434380256,Borrow money.
23,1,5.0,Fund raising.,"[-0.04967139 -0.01305537 -0.00600104 ...  0.00269331 -0.00198302
 -0.02141709]",human,0.2955181482815702,0.6151004762852547,7,0.26118534309706987,Start a GoFund me.
24,1,1.0,Seek financial.,"[-0.02932251  0.01626997 -0.00648057 ... -0.02180908 -0.00598241
 -0.02210157]",human,0.2790458298443388,0.6527117841837862,9,0.3792269079546642,Seek financial assistance from charities or nonprofit organizations.
24,1,2.0,Contact the doctor.,"[-0.03337054  0.01596978  0.01300764 ... -0.02236628  0.01180562
 -0.03314159]",human,0.3362090483838407,0.7000697414925005,5,0.41337498416341,See if there are alternative medications.
24,1,3.0,Look for a suitable payment plan.,"[-0.05270751  0.01506865 -0.00363408 ... -0.01575656 -0.00751794
 -0.00077493]",human,0.3429472654501492,0.7056521457782651,9,0.4031513681146768,Seek financial assistance from charities or nonprofit organizations.
24,1,4.0,Explore sourcing at different place.,"[ 0.00154234  0.00812442 -0.02320988 ... -0.01727224 -0.00432771
  0.01524476]",human,0.41236846283804174,0.7631654591677797,5,0.6082611121979657,See if there are alternative medications.
24,1,5.0,Contacr the phama company.,"[-0.03489301 -0.00454161  0.00968825 ... -0.00368575 -0.00451863
 -0.02293013]",human,0.3155531969578269,0.682957007902589,2,0.3422812691713297,Look into discount programs or financial assistance from the pharmaceutical company.
25,1,1.0,Research different coupons.,"[ 0.00396955 -0.00783376 -0.01448605 ... -0.01614913 -0.01347015
 -0.00231965]",human,0.3457570839015234,0.6776692644121862,2,0.5200697783885244,Look into discount programs or financial assistance from the pharmaceutical company.
25,1,2.0,Ask the prescriber if there is a cheaper medication.,"[-0.04934149 -0.00524645 -0.01135366 ... -0.0133811  -0.00047129
  0.01606302]",human,0.220340590727377,0.567955101634152,5,0.273987867531284,See if there are alternative medications.
25,1,3.0,Ask the pharmacy if there are any coupons.,"[-0.02823252  0.01469546 -0.0145877  ... -0.01501873 -0.01111925
  0.00755651]",human,0.16791594452078829,0.5220940986518408,2,0.22987841726787606,Look into discount programs or financial assistance from the pharmaceutical company.
